,dif_min,atraso_15,periodo_dia,temporada_alta
0,3.0,0,noche,1
1,9.0,0,noche,1
2,9.0,0,noche,1
3,3.0,0,noche,1
4,-2.0000000000000004,0,noche,1
5,34.00000000000001,1,noche,1
6,-5.0,0,noche,1
7,-5.0,0,noche,1
8,40.0,1,noche,1
9,69.0,1,noche,1
10,-9.0,0,noche,1
11,14.0,0,noche,1
12,-7.0,0,noche,1
13,-4.000000000000001,0,noche,1
14,-11.0,0,noche,1
15,-9.0,0,noche,1
16,-9.0,0,noche,1
17,-12.0,0,noche,1
18,15.0,0,noche,1
19,-2.0000000000000004,0,noche,1
20,2.0000000000000004,0,noche,1
21,8.000000000000002,0,noche,1
22,-5.0,0,noche,1
23,52.0,1,noche,1
24,-5.0,0,noche,1
25,0.0,0,noche,1
26,26.0,1,noche,1
27,-3.0,0,noche,1
28,-5.0,0,noche,1
29,2.0000000000000004,0,noche,1
30,2.0000000000000004,0,noche,1
31,-7.0,0,noche,1
32,-1.0000000000000002,0,noche,1
33,5.0,0,noche,1
34,-4.000000000000001,0,noche,1
35,1.0000000000000002,0,noche,1
36,-5.0,0,noche,1
37,3.0,0,noche,1
38,-2.0000000000000004,0,noche,1
39,-4.000000000000001,0,noche,1
40,-6.0,0,noche,1
41,4.000000000000001,0,noche,1
42,-4.000000000000001,0,noche,1
43,-4.000000000000001,0,noche,1
44,-9.0,0,noche,1
45,-10.0,0,noche,1
46,0.0,0,noche,1
47,-2.0000000000000004,0,noche,1
48,1.0000000000000002,0,noche,1
49,-4.000000000000001,0,noche,1
50,10.0,0,noche,1
51,20.0,1,noche,1
52,11.0,0,noche,1
53,24.0,1,noche,1
54,-5.0,0,noche,1
55,-7.0,0,noche,1
56,14.0,0,noche,1
57,5.0,0,noche,1
58,0.0,0,noche,1
59,25.0,1,noche,1
60,1.0000000000000002,0,noche,1
61,0.0,0,noche,1
62,-4.000000000000001,0,noche,1
63,13.0,0,noche,1
64,-3.0,0,noche,1
65,2.0000000000000004,0,noche,1
66,-5.0,0,noche,1
67,0.0,0,noche,1
68,-2.0000000000000004,0,noche,1
69,3.0,0,noche,1
70,-9.0,0,noche,1
71,5.0,0,noche,1
72,-3.0,0,noche,1
73,-4.000000000000001,0,noche,1
74,-10.0,0,noche,1
75,-9.0,0,noche,1
76,62.00000000000001,1,noche,1
77,2.0000000000000004,0,noche,1
78,-8.000000000000002,0,noche,1
79,19.0,1,tarde,1
80,60.0,1,tarde,1
81,17.000000000000004,1,tarde,1
82,26.0,1,tarde,1
83,14.0,0,tarde,1
84,67.00000000000001,1,tarde,1
85,84.0,1,tarde,1
86,63.00000000000001,1,tarde,1
87,97.0,1,tarde,1
88,17.000000000000004,1,tarde,1
89,90.0,1,tarde,1
90,130.00000000000003,1,tarde,1
91,24.0,1,tarde,1
92,77.0,1,tarde,1
93,32.00000000000001,1,tarde,1
94,39.0,1,tarde,1
95,48.0,1,tarde,1
96,6.0,0,tarde,1
97,2.0000000000000004,0,tarde,1
98,28.0,1,tarde,1
99,11.0,0,tarde,1
100,33.00000000000001,1,tarde,1
101,69.0,1,tarde,1
102,20.0,1,tarde,1
103,3.0,0,tarde,1
104,22.0,1,tarde,1
105,21.0,1,tarde,1
106,22.0,1,tarde,1
107,27.0,1,tarde,1
108,6.0,0,tarde,1
109,20.0,1,noche,1
110,17.000000000000004,1,noche,1
111,19.0,1,noche,1
112,47.0,1,noche,1
113,5.0,0,noche,1
114,63.00000000000001,1,noche,1
115,55.0,1,noche,1
116,53.0,1,noche,1
117,105.0,1,noche,1
118,20.0,1,noche,1
119,72.0,1,noche,1
120,26.0,1,noche,1
121,99.0,1,noche,1
122,52.0,1,noche,1
123,33.00000000000001,1,noche,1
124,147.0,1,noche,1
125,18.0,1,noche,1
126,25.0,1,noche,1
127,5.0,0,noche,1
128,21.0,1,noche,1
129,13.0,0,noche,1
130,21.0,1,noche,1
131,11.0,0,noche,1
132,-4.000000000000001,0,noche,1
133,-1.0000000000000002,0,noche,1
134,8.000000000000002,0,noche,1
135,6.0,0,noche,1
136,-4.000000000000001,0,noche,1
137,6.0,0,noche,1
138,-4.000000000000001,0,tarde,1
139,0.0,0,tarde,1
140,3.0,0,tarde,1
141,-1.0000000000000002,0,tarde,1
142,-10.0,0,tarde,1
143,16.000000000000004,1,tarde,1
144,-1.0000000000000002,0,tarde,1
145,1.0000000000000002,0,tarde,1
146,14.0,0,tarde,1
147,8.000000000000002,0,tarde,1
148,7.0,0,tarde,1
149,7.0,0,tarde,1
150,5.0,0,tarde,1
151,17.000000000000004,1,tarde,1
152,1.0000000000000002,0,tarde,1
153,12.0,0,tarde,1
154,-3.0,0,tarde,1
155,33.00000000000001,1,tarde,1
156,6.0,0,tarde,1
157,-4.000000000000001,0,tarde,1
158,8.000000000000002,0,tarde,1
159,7.0,0,tarde,1
160,-1.0000000000000002,0,tarde,1
161,3.0,0,tarde,1
162,-7.0,0,tarde,1
163,12.0,0,tarde,1
164,-2.0000000000000004,0,tarde,1
165,7.0,0,tarde,1
166,14.0,0,tarde,1
167,14.0,0,tarde,1
168,-5.0,0,tarde,1
169,-11.0,0,noche,1
170,13.0,0,noche,1
171,-2.0000000000000004,0,noche,1
172,-12.0,0,noche,1
173,7.0,0,noche,1
174,-1.0000000000000002,0,noche,1
175,14.0,0,noche,1
176,-7.0,0,noche,1
177,-6.0,0,noche,1
178,0.0,0,noche,1
179,-3.0,0,noche,1
180,-9.0,0,noche,1
181,-4.000000000000001,0,noche,1
182,-2.0000000000000004,0,noche,1
183,-7.0,0,noche,1
184,-3.0,0,noche,1
185,1.0000000000000002,0,noche,1
186,4.000000000000001,0,noche,1
187,-9.0,0,noche,1
188,138.0,1,noche,1
189,-1.0000000000000002,0,noche,1
190,-13.0,0,noche,1
191,-11.0,0,noche,1
192,-11.0,0,noche,1
193,-9.0,0,noche,1
194,-7.0,0,noche,1
195,-5.0,0,noche,1
